Название;Широта;Долгота;Код станции в реестре ЕСР;Номер линии по FreiCON;Название линии;Область;Район;Железная дорога;Регион РЖД:;Класс станции;Тип
Находка;42.85;132.96;98450;96-057;Находка - Восточный Порт;Приморский край;ГО Находка;Дальневосточная;Владивостокский;;
Находка-Восточная;42.77;133.10;98590;96-057;Находка - Восточный Порт;Приморский край;ГО Находка;Дальневосточная;Владивостокский;;
Невельск ;46.67;141.86;99310;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Невельский ;Дальневосточная;Сахалинский;;
Некруглый;43.98;132.06;97691;96-033;Сибирцево - Дубининский;Приморский край;Михайловский район;Дальневосточная;Владивостокский;;
Нерчинск;51.98;116.57;94830;94-013;Приисковая - Нерчинск;Забайкальский край;Нерчинский район;Забайкальская;Читинский регион;4;промежуточная 
Нерюнгри-Пассажирская;56.64;124.74;91150;96-004;Бестужево - Нерюнгри-Пассажирская;Саха-Якутия;Нерюнгринский район;Дальневосточная;Тындинский;;
Нижнеангарск;55.81;109.60;90330;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;5;промежуточная  
Низина;50.85;128.37;95002;94-018;Белогорск - Благовещенск;Амурская область;Белогорский район;Забайкальская;Свободненский регион;5;разъезд
Николаевка;48.53;134.77;97010;96-023;Дежневка - Хабаровск 1;ЕАО;Смидовичский район;Дальневосточная;Хабаровский;;
Николайчук ;47.01;142.09;99362;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Новая;51.77;113.79;94270;94-001;Петровский Завод - Карымская;Забайкальский край;Читинский район;Забайкальская;Читинский регион;4;промежуточная 
Новая Чара;56.80;118.28;90430;92-017;Лена Восточная-Хани;Забайкальский край;Каларский район;Восточно-Сибирская;Северо-Байкальский ;1;участковая железнодорожная 
Новоалександровка ;47.06;142.73;99120;96-063;Южно-Сахалинск-Арсентьевка; Сахалинская область;ГО Южно-Сахалинск ;Дальневосточная;Сахалинский;;
Новое;48.88;142.94;99562;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Новоильинский;51.68;108.70;93810;92-005;Заудинский - Петровский Завод;Республика Бурятия;Заиграевский район;Восточно-Сибирская;Улан-Удэнский;;промежуточная
Новонежино;43.22;132.61;98351;96-053;Смоляниново - Пост 132 км;Приморский край;Шкотовский район;Дальневосточная;Владивостокский;;
Новопавловка;51.21;109.23;94050;94-001;Петровский Завод - Карымская;Забайкальский край;Петровск-Забайкальский район;Забайкальская;Читинский регион;4;промежуточная 
Новоселово-Сахалинское ;47.65;141.99;99452;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Томаринский ;Дальневосточная;Сахалинский;;
Новочугуевка;44.22;133.83;97660;96-030;Сибирцево - Новочугуевка;Приморский край; Чугуевский район;Дальневосточная;Владивостокский;;
Новошахтинская;44.00;132.09;97690;96-033;Сибирцево - Дубининский;Приморский край;Михайловский район;Дальневосточная;Владивостокский;;
Новый Кузнецовский;50.19;138.97;96647;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Новый мир;50.46;136.93;96002;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Новый Уоян;56.15;111.73;90360;92-017;Лена Восточная-Хани;Республика Бурятия;Северо-Байкальский район;Восточно-Сибирская;Северо-Байкальский ;3;промежуточная  
Новый Ургал;51.08;132.61;91710;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Новый Ургал;51.08;132.61;91710;96-006;Бестужево - Новый Ургал;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Ноглики ;51.80;143.14;99810;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Ноглики;Дальневосточная;Сахалинский;;
Нора;53.18;130.20;91592;96-006;Бестужево - Новый Ургал;Амурская область;Селемджинский район;Дальневосточная;Тындинский;;
Нусхи;49.48;135.29;96442;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Ныш ;51.52;142.81;99800;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Ноглики;Дальневосточная;Сахалинский;;
Нюкжа;53.53;125.58;95241;94-004;Бамовская - Белогорск;Амурская область;Магдагачинский район;Забайкальская;Свободненский регион;4;обгонный пункт
Нюки;52.02;106.70;93481;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Облучье;49.01;131.06;96140;96-011;Архара - Известковая;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Оборчо;56.47;124.79;91132;96-004;Бестужево - Нерюнгри-Пассажирская;Саха-Якутия;Нерюнгринский район;Дальневосточная;Тындинский;;
Огорон;53.96;129.14;91450;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Озёрная Падь;44.03;132.17;97680;96-033;Сибирцево - Дубининский;Приморский край;Михайловский район;Дальневосточная;Владивостокский;;
Океанская;43.24;132.01;98200;96-040;Угольная - Владивосток;Приморский край;ГО Владивосток;Дальневосточная;Владивостокский;;
Окусикан;56.19;113.55;90400;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;5;промежуточная  
Олёкма;57.02;120.73;90800;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Оленевод;43.59;131.87;98817;96-044;Барановский - Гвоздево;Приморский край;Надеждинский район;Дальневосточная;Владивостокский;;
Олень-Сахалинский ;49.28;142.87;99640;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Поронайск;Дальневосточная;Сахалинский;;
Оловянная;50.94;115.59;94390;94-006;Карымская - Борзя;Забайкальский край;Оловяннинский район;Забайкальская;Борзинский регион;;промежуточная 
Олонгдо;57.01;119.64;90451;92-017;Лена Восточная-Хани;Забайкальский край;Нерюнгринский улус;Забайкальская;Северо-Байкальский ;5;разъезд
Ольгохта;48.61;134.16;96342;96-014;Биробиджан 1 - Волочаевка 1;ЕАО;Смидовичский район;Дальневосточная;Хабаровский;;
Ольдой;54.08;123.52;95151;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;;
Онор ;50.20;142.72;99710;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Смирныховский;Дальневосточная;Сахалинский;;
Онохой;51.91;108.04;93770;92-005;Заудинский - Петровский Завод;Республика Бурятия;Заиграевский район;Восточно-Сибирская;Улан-Удэнский;3;промежуточная
Орехово-Приморское;44.14;132.37;97481;96-033;Сибирцево - Дубининский;Приморский край;Черниговский район;Дальневосточная;Владивостокский;;
Орокот;50.69;133.96;91842;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Осиновка;51.60;105.38;93438;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Ост. пункт 572 км;51.52;142.81;99791;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Остречная;51.21;115.05;94352;94-006;Карымская - Борзя;Забайкальский край;Могойтуйский район;Забайкальская;Борзинский регион;5;разъезд
Осыпной;56.29;113.38;90574;92-016;Ангаракан - Казанкан;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;разъезд
Откосная;50.19;139.03;96644;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Отроги;49.23;130.57;96091;96-011;Архара - Известковая;Амурская область;Архаринский район;Дальневосточная;Хабаровский;;
Оунэ;50.21;138.86;96642;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Палево ;50.65;142.69;99740;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Партизанск;43.15;133.14;98380;96-053;Смоляниново - Пост 132 км;Приморский край;Партизанский район;Дальневосточная;Владивостокский;;
Партизанские сопки;48.82;134.88;96383;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Пензенская ;47.90;142.16;99470;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Томаринский ;Дальневосточная;Сахалинский;;
Пеньковая;53.81;119.41;95072;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;4;железнодорожная 
Первая Падь;46.67;142.75;99001;96-062;Корсаков-Южно-Сахалинск; Сахалинская область;ГО Корсаков;Дальневосточная;Сахалинский;;
Первая Площадка;52.05;106.90;93491;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Первая Речка;43.14;131.90;98130;96-040;Угольная - Владивосток;Приморский край;ГО Владивосток;Дальневосточная;Владивостокский;;
Первопроходцев;54.87;127.72;91291;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Перевал;56.24;113.41;90573;92-016;Ангаракан - Казанкан;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;5;промежуточная  
Перевальный;49.32;131.66;91802;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Переемная;51.58;105.25;93433;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;4;обгонный пункт
Перелётный;44.09;132.33;97482;96-033;Сибирцево - Дубининский;Приморский край;Михайловский район;Дальневосточная;Владивостокский;;
Переселенческий;52.38;127.09;95302;94-004;Бамовская - Белогорск;Амурская область;Шимановский район;Забайкальская;Свободненский регион;;
Песчаный Карьер;51.98;106.40;93473;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Петровка;43.15;132.40;98300;96-054;Смоляниново - Дунай;Приморский край;ГО Большой Камень;Дальневосточная;Владивостокский;;
Петровка;43.15;132.40;98300;96-054;Смоляниново - Дунай;Приморский край;ГО Большой Камень;Дальневосточная;Владивостокский;;
Петровский Завод;51.29;108.86;94010;92-005;Заудинский - Петровский Завод;Забайкальский край;Петровск-Забайкальский район;Забайкальская;Читинский регион;;
Петровский Завод;51.29;108.86;94010;94-001;Петровский Завод - Карымская;Забайкальский край;Петровск-Забайкальский район;Забайкальская;Читинский регион;2;участковая 
Петруши;52.09;127.57;95312;94-004;Бамовская - Белогорск;Амурская область;Шимановский район;Забайкальская;Свободненский регион;5;остановочный пункт
Петуховка;52.03;107.50;93525;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Прибайкальский район;Восточно-Сибирская;Улан-Удэнский;;
Пивань;50.51;137.07;96570;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Пиль;51.15;136.78;91945;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Пионерская;43.18;131.91;98181;96-040;Угольная - Владивосток;Приморский край;ГО Владивосток;Дальневосточная;Владивостокский;;
Пионеры Сахалинские;47.26;142.02;99412;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Платоновка;45.02;131.10;97542;96-031;Сибирцево - Платоновка;Приморский край;Ханкайский район;Дальневосточная;Владивостокский;;
Победино-Сахалинское ;49.84;142.82;99690;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Смирныховский;Дальневосточная;Сахалинский;;
Победино-Сахалинское ;49.84;142.82;99690;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Смирныховский;Дальневосточная;Сахалинский;;
Поворот;51.87;106.10;93466;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Подали;50.22;136.65;96521;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Комсомольский ;;
Пожарский;43.01;131.43;98801;96-044;Барановский - Гвоздево;Приморский край;Хасанский район;Дальневосточная;Владивостокский;;
Поздеевка;50.59;128.89;95530;94-005;Белогорск - Архара;Амурская область;Ромненский район;Забайкальская;Свободненский регион;4;промежуточная 
Пойма;42.88;131.24;98757;96-044;Барановский - Гвоздево;Приморский край;Хасанский район;Дальневосточная;Владивостокский;;
Покровский;48.53;134.94;97021;96-023;Дежневка - Хабаровск 1;ЕАО;Смидовичский район;Дальневосточная;Хабаровский;;
Поляково ;47.02;142.03;99322;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Поречье-Сахалинское;48.57;142.76;99543;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Поронайск ;49.22;143.09;99630;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Поронайск;Дальневосточная;Сахалинский;;
Посольская;51.97;106.35;93470;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;4;промежуточная
Постышево;51.66;135.68;91890;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Почепта;50.36;138.24;96621;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Поярково;49.64;128.67;95600;94-019;Завитая - Поярково;Амурская область;Михайловский район;Забайкальская;Свободненский регион;5;грузовая 
Пржевальская;44.31;131.64;98900;96-038;Воздвиженский - Гродеково;Приморский край;Пограничный район;Дальневосточная;Владивостокский;;
Приамурская;48.52;134.90;97020;96-023;Дежневка - Хабаровск 1;ЕАО;Смидовичский район;Дальневосточная;Хабаровский;;
Приаргунск;50.35;119.07;94610;94-009;Харанор - Приаргунск;Забайкальский край;Приаргунский район;Забайкальская;Борзинский регион;4;промежуточная 
Прибой;51.61;105.42;93435;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Призейская;50.51;127.65;95450;94-018;Белогорск - Благовещенск;Амурская область;ГО Благовещенск;Забайкальская;Свободненский регион;5;промежуточная 
Приисковая;51.92;116.62;94810;94-002;Карымская - Куэнга;Забайкальский край;Нерчинский район;Забайкальская;Читинский регион;;
Приисковая;51.92;116.62;94810;94-013;Приисковая - Нерчинск;Забайкальский край;Нерчинский район;Забайкальская;Читинский регион;4;промежуточная 
Приморская;43.10;131.60;98810;96-044;Барановский - Гвоздево;Приморский край;Хасанский район;Дальневосточная;Владивостокский;;
Провалово;43.29;131.72;98812;96-044;Барановский - Гвоздево;Приморский край;Хасанский район;Дальневосточная;Владивостокский;;
Прогресс;49.76;129.66;95662;94-020;Бурея - Холодный Ключ;Амурская область;ГО Прогресс;Забайкальская;Свободненский регион;5;разъезд
Прохаско;45.63;133.52;97351;96-024;Хабаровск I - Сибирцево;Приморский край;ГО Лесозаводск;Дальневосточная;Владивостокский;;
Пугачево-Сахалинское ;48.20;142.54;99520;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Пурикан;54.56;123.81;91041;96-002;Тында - Бамовская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Раздольное;53.81;119.66;95073;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;5;остановочный пункт
Раздольное;43.56;131.91;98680;96-039;Барановский - Угольная;Приморский край;Надеждинский район;Дальневосточная;Владивостокский;;
Размахнино;51.77;115.50;94763;94-002;Карымская - Куэнга;Забайкальский край;Шилкинский район;Забайкальская;Читинский регион;4;обгонный пункт
Рассыпная Падь;44.36;131.22;98922;96-038;Воздвиженский - Гродеково;Приморский край;Пограничный район;Дальневосточная;Владивостокский;;
Рачи;49.27;130.36;96081;96-011;Архара - Известковая;Амурская область;Архаринский район;Дальневосточная;Хабаровский;;
Реттиховка;44.17;132.75;97580;96-030;Сибирцево - Новочугуевка;Приморский край;Черниговский район;Дальневосточная;Владивостокский;;
Речка-Выдрино;51.49;104.84;93401;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Речка-Мишиха;51.64;105.54;93431;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Речка-Переемная;51.57;105.16;93421;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;
Речка-Тимлюй;51.99;106.55;93474;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;;остановочный пунк
Рихард Зорге;55.74;124.94;91111;96-004;Бестужево - Нерюнгри-Пассажирская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Розенгартовка;47.16;134.31;97210;96-024;Хабаровск 1 - Сибирцево;Хабаровский край;Бикинский район;Дальневосточная;Хабаровский;;
Романовка;43.24;132.48;98281;96-053;Смоляниново - Пост 132 км;Приморский край;Шкотовский район;Дальневосточная;Владивостокский;;
Ромашки;49.31;142.87;99643;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Поронайск;Дальневосточная;Сахалинский;;
Ружино;45.49;133.44;97370;96-024;Хабаровск I - Сибирцево;Приморский край;ГО Лесозаводск;Дальневосточная;Владивостокский;;
Ружино;45.49;133.44;97370;96-029;Ружино - Кабарга;Приморский край;ГО Лесозаводск;Дальневосточная;Владивостокский;;
Рыбники;42.79;132.86;98530;96-056;Пост 132 км - мыс Астафьева;Приморский край;ГО Находка;Дальневосточная;Владивостокский;;
Рыбники;42.79;132.86;98530;96-056;Пост 132 км - мыс Астафьева;Приморский край;ГО Находка;Дальневосточная;Владивостокский;;
Рязановка;42.81;131.25;98756;96-044;Барановский - Гвоздево;Приморский край;Хасанский район;Дальневосточная;Владивостокский;;
Сагджему;50.34;138.34;96623;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Садгород;43.26;132.04;98202;96-040;Угольная - Владивосток;Приморский край;ГО Владивосток;Дальневосточная;Владивостокский;;
Садовники;47.21;142.05;99411;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Сакукан;56.74;117.97;90431;92-017;Лена Восточная-Хани;Забайкальский край;Каларский район;Забайкальская;Северо-Байкальский ;;разъезд
Салликит;56.68;117.70;90432;92-017;Лена Восточная-Хани;Забайкальский край;Каларский район;Забайкальская;Северо-Байкальский ;;разъезд
Санаторная;43.23;131.98;98191;96-040;Угольная - Владивосток;Приморский край;ГО Владивосток;Дальневосточная;Владивостокский;;
Санболи;49.36;135.19;96440;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Саянтуй;51.69;107.44;93590;92-009;Заудинский - Наушки;Республика Бурятия;Тарбагатайский район;Восточно-Сибирская;Улан-Удэнский;5;промежуточная
Сбега;53.31;118.51;95050;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;4;промежуточная 
Светляки;46.80;141.92;99314;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Невельский ;Дальневосточная;Сахалинский;;
Свиягино;44.82;133.07;97410;96-024;Хабаровск I - Сибирцево;Приморский край;Спасский район;Дальневосточная;Владивостокский;;
Свободный;51.39;128.14;95362;94-004;Бамовская - Белогорск;Амурская область;ГО Свободный;Забайкальская;Свободненский регион;5;обгонный пункт
Сгибеево;54.07;122.71;95131;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;4;обгонный пункт
Северные источники;46.97;142.02;99321;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Томаринский ;Дальневосточная;Сахалинский;;
Северобайкальск;55.63;109.34;90320;92-017;Лена Восточная-Хани;Республика Бурятия;ГО Северобайкальск;Восточно-Сибирская;Северо-Байкальский ;1;участковая железнодорожная 
Северомуйск;56.17;113.67;90570;92-017;Лена Восточная-Хани;Республика Бурятия;Муйский район;Восточно-Сибирская;Северо-Байкальский ;;промежуточная  
Сегачама;54.01;122.11;95137;94-003;Куэнга - Бамовская;Амурская область;Сковородинский район;Забайкальская;Могочинский регион;5;обгонный пункт
Седанка;43.22;131.95;98192;96-040;Угольная - Владивосток;Приморский край;ГО Владивосток;Дальневосточная;Владивостокский;;
Седловой;51.48;114.54;94333;94-006;Карымская - Борзя;Забайкальский край;Карымский район;Забайкальская;Борзинский регион;5;разъезд
Сектали;51.21;134.74;91861;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Селенга;52.03;106.87;93490;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Кабанский район;Восточно-Сибирская;Улан-Удэнский;1;грузо-пассажирская
Селендума;50.87;106.24;93650;92-009;Заудинский - Наушки;Республика Бурятия;Селенгинский район;Восточно-Сибирская;Улан-Удэнский;5;грузо-пассажирская
Селеткан;51.92;127.91;95322;94-004;Бамовская - Белогорск;Амурская область;Шимановский район;Забайкальская;Свободненский регион;4;обгонный пункт
Селихин;50.37;137.50;96600;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Сельгон;49.58;135.41;96452;96-018;Волочаевка 2 - Комсомольск-Сортировочный;Хабаровский край;Амурский район;Дальневосточная;Хабаровский;;
Семиозерный;53.71;120.36;95100;94-003;Куэнга - Бамовская;Забайкальский край;Могочинский район;Забайкальская;Могочинский регион;4;промежуточная 
Семисточный;48.96;132.57;96262;96-012;Известковая - Биробиджан 1;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Сергеево-Сахалинское;47.48;141.99;99442;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Серышево ;51.09;128.38;95410;94-004;Бамовская - Белогорск;Амурская область;Серышевский район;Забайкальская;Свободненский регион;4;промежуточная 
Сети;55.01;124.61;91020;96-002;Тында - Бамовская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Сибирцево;44.21;132.44;97480;96-024;Хабаровск I - Сибирцево;Приморский край;Черниговский район;Дальневосточная;Владивостокский;;
Сибирцево;44.21;132.44;97480;96-030;Сибирцево - Новочугуевка;Приморский край;Черниговский район;Дальневосточная;Владивостокский;;
Сибирцево;44.21;132.44;97480;96-031;Сибирцево - Платоновка;Приморский край;Черниговский район;Дальневосточная;Владивостокский;;
Сибирцево;44.21;132.44;97480;96-033;Сибирцево - Дубининский;Приморский край;Черниговский район;Дальневосточная;Владивостокский;;
Сиваки;52.63;126.75;95300;94-004;Бамовская - Белогорск;Амурская область;Магдагачинский район;Забайкальская;Свободненский регион;4;промежуточная 
Силинка;50.65;136.92;96041;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Комсомольский район;Дальневосточная;Комсомольский ;;
Силип;54.65;124.07;91032;96-002;Тында - Бамовская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Симаково ;47.12;142.05;99401;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Сиреневка;43.42;131.95;98651;96-039;Барановский - Угольная;Приморский край;Надеждинский район;Дальневосточная;Владивостокский;;
Скалистый;52.71;130.62;91615;96-006;Бестужево - Новый Ургал;Амурская область;Селемджинский район;Дальневосточная;Тындинский;;
Сковородино;53.99;123.94;95170;94-004;Бамовская - Белогорск;Амурская область;ГО Сковородино;Забайкальская;Могочинский регион;;
Сковородино;53.99;123.94;95170;94-017;Сковородино - ост. пункт 53 км;Амурская область;ГО Сковородино;Забайкальская;Могочинский регион;1;участковая 
Слава ;51.04;142.66;99769;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Слива;50.14;142.74;99701;96-073;Победино-Сахалинское - Ноглики; Сахалинская область;ГО Тымовский;Дальневосточная;Сахалинский;;
Слюдянка-1;51.66;103.72;93330;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Слюдянский район;Восточно-Сибирская;Улан-Удэнский;2;грузо-пассажирская
Слюдянская;47.35;142.00;99431;96-070;Холмск-Северный-Ильинск-Сахалинский; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Смирных-Сахалинский ;49.75;142.84;99680;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Смирныховский ;Дальневосточная;Сахалинский;;
Смоляниново;43.29;132.46;98280;96-052;Угловая - Смоляниново;Приморский край;Шкотовский район;Дальневосточная;Владивостокский;;
Смоляниново;43.29;132.46;98280;96-054;Смоляниново - Дунай;Приморский край;Шкотовский район;Дальневосточная;Владивостокский;;
Смоляниново;43.29;132.46;98280;96-053;Смоляниново - Пост 132 км;Приморский край;Шкотовский район;Дальневосточная;Владивостокский;;
Советская Гавань;48.94;140.28;96840;96-020;Ванино-Советская Гавань;Хабаровский край;ГО Советская Гавань;Дальневосточная;Комсомольский ;;
Советское-Сахалинское ;47.50;142.68;99240;96-063;Южно-Сахалинск-Арсентьевка; Сахалинская область;ГО Долинский;Дальневосточная;Сахалинский;;
Совхоз Тельман;51.46;106.70;93608;92-009;Заудинский - Наушки;Забайкальский край;Селенгинский район;Восточно-Сибирская;Улан-Удэнский;5;промежуточная
Совхозная;43.34;132.03;98212;96-039;Барановский - Угольная;Приморский край;Надеждинский район;Дальневосточная;Владивостокский;;
Согда;50.32;132.29;91762;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Сокол ;47.25;142.75;99150;96-063;Южно-Сахалинск-Арсентьевка; Сахалинская область;ГО Долинский;Дальневосточная;Сахалинский;;
Соктуй;50.25;116.59;94473;94-007;Борзя - Забайкальск;Забайкальский край;Борзинский район;Забайкальская;Борзинский регион;5;разъезд
Соллу;50.14;139.00;96646;96-019;Комсомольск-Сортировочный - Ванино;Хабаровский край;Ванинский;Дальневосточная;Комсомольский ;;
Солнечная;51.94;107.50;93534;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;;
Солнцевая;51.76;115.68;94770;94-002;Карымская - Куэнга;Забайкальский край;Шилкинский район;Забайкальская;Читинский регион;4;промежуточная 
Соловьевка;46.73;142.74;99003;96-062;Корсаков-Южно-Сахалинск; Сахалинская область;ГО Корсаков;Дальневосточная;Сахалинский;;
Солони;50.82;133.23;91834;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Верхнебуреинский;Дальневосточная;Комсомольский ;;
Сонах;51.45;135.32;91881;96-010;Ургал 1 - Комсомольск-Сортировочный;Хабаровский край;Солнечный район;Дальневосточная;Комсомольский ;;
Сосновый;55.53;123.27;90945;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
