Название;Широта;Долгота;Код станции в реестре ЕСР;Номер линии по FreiCON;Название линии;Область;Район;Железная дорога;Регион РЖД:;Класс станции;Тип
Забайкалец;49.37;142.86;99644;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;ГО Поронайск;Дальневосточная;Сахалинский;;
Забайкальск;49.64;117.33;94680;94-007;Борзя - Забайкальск;Забайкальский край;Забайкальский район;Забайкальская;Борзинский регион;0;грузовая и пограничная 
Заболотное;54.75;124.23;91031;96-002;Тында - Бамовская;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Заветы Ильича Сахалинские;46.80;141.92;99313;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Невельский ;Дальневосточная;Сахалинский;;
Завитая;50.12;129.45;95560;94-005;Белогорск - Архара;Амурская область;ГО Завитинск;Забайкальская;Свободненский регион;;
Завитая;50.12;129.45;95560;94-019;Завитая - Поярково;Амурская область;ГО Завитинск;Забайкальская;Свободненский регион;3;грузовая 
Загустай;51.32;106.49;93620;92-009;Заудинский - Наушки;Республика Бурятия;Селенгинский район;Восточно-Сибирская;Улан-Удэнский;3;промежуточная
Заиграево;51.84;108.28;93780;92-005;Заудинский - Петровский Завод;Республика Бурятия;Заиграевский район;Восточно-Сибирская;Улан-Удэнский;4;промежуточная
Заозерное-Сахалинское ;48.39;142.68;99540;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Заозерное-Старое;48.36;142.67;99545;96-064;Арсентьевка-Победино-Сахалинское; Сахалинская область;Макаровский район;Дальневосточная;Сахалинский;;
Заудинский;51.82;107.68;93570;92-003;Улан-Удэ - Заудинский;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;;
Заудинский;51.82;107.68;93570;92-005;Заудинский - Петровский Завод;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;;
Заудинский;51.82;107.68;93570;92-009;Заудинский - Наушки;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;2;грузовая 
Заячий;55.53;122.94;90915;96-001;Хани - Тында;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Звонкое;52.30;130.91;91611;96-006;Бестужево - Новый Ургал;Амурская область;Селемджинский район;Дальневосточная;Тындинский;;
Зенит;51.93;107.51;93535;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;ГО Улан-Удэ;Восточно-Сибирская;Улан-Удэнский;;
Зилово;53.07;117.51;94960;94-003;Куэнга - Бамовская;Забайкальский край;Чернышевский район;Забайкальская;Могочинский регион;3;промежуточная 
Зимовье;49.46;131.55;91790;96-060;Новый Ургал - Известковая;Хабаровский край;Верхнебуреинский;Дальневосточная;Хабаровский;;
Змейка;55.24;126.19;91193;96-006;Бестужево - Новый Ургал;Амурская область;Тындинский район;Дальневосточная;Тындинский;;
Золотинка;56.20;124.87;91130;96-004;Бестужево - Нерюнгри-Пассажирская;Саха-Якутия;Нерюнгринский район;Дальневосточная;Тындинский;;
Зубарево;51.79;115.28;94765;94-002;Карымская - Куэнга;Забайкальский край;Шилкинский район;Забайкальская;Читинский регион;4;обгонный пункт
Зудыра;53.10;117.80;94962;94-003;Куэнга - Бамовская;Забайкальский край;Чернышевский район;Забайкальская;Могочинский регион;4;железнодорожная 
Зун-Торей;50.43;116.46;94462;94-006;Карымская - Борзя;Забайкальский край;Борзинский район;Забайкальская;Борзинский регион;4;разъезд
Зырянская Сахалинская;46.90;141.99;99316;96-066;Холмск-Северный-Шахта Сахалинская; Сахалинская область;ГО Холмск;Дальневосточная;Сахалинский;;
Ижак;54.32;128.92;91322;96-006;Бестужево - Новый Ургал;Амурская область;Зейский район;Дальневосточная;Тындинский;;
Известковая;48.98;131.56;96160;96-011;Архара - Известковая;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Известковая;48.98;131.56;96160;96-012;Известковая - Биробиджан 1;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Известковая;48.98;131.56;96160;96-060;Новый Ургал - Известковая;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Известковый Завод;49.01;131.94;96220;96-012;Известковая - Биробиджан 1;ЕАО;Облученский район;Дальневосточная;Хабаровский;;
Икабьекан;57.03;119.09;90453;92-017;Лена Восточная-Хани;Забайкальский край;Каларский район;Забайкальская;Северо-Байкальский ;;разъезд
Икабья ;57.00;118.77;90450;92-017;Лена Восточная-Хани;Забайкальский край;Каларский район;Забайкальская;Северо-Байкальский ;3;промежуточная  
Икура;48.73;133.11;96282;96-014;Биробиджан 1 - Волочаевка 1;ЕАО;Смидовичский район;Дальневосточная;Хабаровский;;
Ильинка;52.12;107.30;93511;92-002;Иркутск-Пассажирский - Улан-Удэ;Республика Бурятия;Прибайкальский район;Восточно-Сибирская;Улан-Удэнский;;
Ильинка;44.88;131.99;97543;96-031;Сибирцево - Платоновка;Приморский край;Ханкайский район;Дальневосточная;Владивостокский;;
